room_image_id,room_id,ulid,url
166,35,02C1E549E775F26496389BF52D309BDF98C54931,https://cf.bstatic.com/images/hotel/max1024x768/159/159439555.jpg
167,35,B0E4189A09EE75D8B092CEF5B210B23C52500544,https://cf.bstatic.com/images/hotel/max1024x768/159/159440016.jpg
168,35,4F9522823B9651FE5A2C3134CFCE166705FC86E2,https://cf.bstatic.com/images/hotel/max1024x768/159/159164272.jpg
169,36,0471443650EE045361935921385C4E7700501604,https://cf.bstatic.com/images/hotel/max1024x768/159/159173557.jpg
170,36,5CE5C0C563A85F00C5C82DA5266F99F49C2141C6,https://cf.bstatic.com/images/hotel/max1024x768/159/159177321.jpg
171,36,072356DDF8E4F1E1FB93998014CCAFBEF444072C,https://cf.bstatic.com/images/hotel/max1024x768/159/159177326.jpg
172,36,C3048830D37CB834D58789F545F6E6DDFEB96BED,https://cf.bstatic.com/images/hotel/max1024x768/159/159164411.jpg
173,36,4FCD4B61AA867AF09BCC86835BCF9B750752A377,https://cf.bstatic.com/images/hotel/max1024x768/159/159177333.jpg
174,36,4F9522823B9651FE5A2C3134CFCE166705FC86E2,https://cf.bstatic.com/images/hotel/max1024x768/159/159164272.jpg
175,37,17AEDA8AD1BA98AD06A6CEB349CFF64C73A59795,https://cf.bstatic.com/images/hotel/max1024x768/159/159164236.jpg
176,37,C775CBD2F4461DC76B3CE1F16C314B82785F68D1,https://cf.bstatic.com/images/hotel/max1024x768/159/159164240.jpg
177,37,4F9522823B9651FE5A2C3134CFCE166705FC86E2,https://cf.bstatic.com/images/hotel/max1024x768/159/159164272.jpg
178,37,8B8EF39D202211774AA5907EA6D7265A38DAC130,https://cf.bstatic.com/images/hotel/max1024x768/159/159177181.jpg
179,38,DA96888882F55B7E7B85AE5E7376D92EB14C3A76,https://cf.bstatic.com/images/hotel/max1024x768/159/159048744.jpg
180,38,2802B45807359F303D3EAE726F3B24C5A56489AA,https://cf.bstatic.com/images/hotel/max1024x768/159/159166488.jpg
181,38,45453DF0CD87BED92C361AD04C180DEBA7B31009,https://cf.bstatic.com/images/hotel/max1024x768/159/159167825.jpg
182,38,6421AAD577DF5FA94B9F94A1ED6BFFFCC299B190,https://cf.bstatic.com/images/hotel/max1024x768/159/159167831.jpg
183,38,8C5CFB0531DB78A9FD19519216359FEA9525A972,https://cf.bstatic.com/images/hotel/max1024x768/159/159163755.jpg
184,38,3CC642E0D0558A6C120FBBB38D8C3AB25DB7FDD7,https://cf.bstatic.com/images/hotel/max1024x768/159/159164122.jpg
185,38,8FEAA2ADA82316E70D1F97755B0DF116F2BBE34C,https://cf.bstatic.com/images/hotel/max1024x768/159/159164124.jpg
186,38,9FB2CF4F0794763986A9E12C609EB8DC0214EC16,https://cf.bstatic.com/images/hotel/max1024x768/159/159164126.jpg
187,38,4F9522823B9651FE5A2C3134CFCE166705FC86E2,https://cf.bstatic.com/images/hotel/max1024x768/159/159164272.jpg
188,39,E166922EBA74386AFF795AD7220FC10648E6D93B,https://cf.bstatic.com/images/hotel/max1024x768/409/409315304.jpg
189,39,54F302AF229E998DDB404255EBE550786DF00B57,https://cf.bstatic.com/images/hotel/max1024x768/409/409315302.jpg
190,39,91F5C031BCDFC3DA1A4A29964068779D29F4E18E,https://cf.bstatic.com/images/hotel/max1024x768/409/409315299.jpg
191,39,860038D8DA150241E0D5458B1BD8212ACD899DB6,https://cf.bstatic.com/images/hotel/max1024x768/409/409315301.jpg
192,40,71B0C98116DD35147B90BC451EBDA185964BD8F7,https://cf.bstatic.com/images/hotel/max1024x768/409/409318396.jpg
193,40,0AFEE1E9706BAA73BD787412E2CC6DB008297097,https://cf.bstatic.com/images/hotel/max1024x768/409/409318026.jpg
194,40,92233352B930EDAB3D70489F8A1CAD459C77862B,https://cf.bstatic.com/images/hotel/max1024x768/409/409318025.jpg
195,40,6E891A50F4B6A2410B60FC49C12D35A52A40741A,https://cf.bstatic.com/images/hotel/max1024x768/409/409318024.jpg
196,41,E56A485873C3304CBF6D4435CA1901B2B6AFD6A2,https://cf.bstatic.com/images/hotel/max1024x768/409/409323840.jpg
197,41,B38C5237AB16A8A044CFE9E58D09836EBA1FC0C2,https://cf.bstatic.com/images/hotel/max1024x768/409/409323837.jpg
198,41,F15DC7850F91FF460E39D150377A7FF1B5A75347,https://cf.bstatic.com/images/hotel/max1024x768/409/409323835.jpg
199,41,725FA5D2DDFC4EEBCD4BFB7A8FD798099EC4FA12,https://cf.bstatic.com/images/hotel/max1024x768/409/409323833.jpg
200,41,A2859D58E14CB67A825071B09C318FA22E414D44,https://cf.bstatic.com/images/hotel/max1024x768/409/409323832.jpg
201,41,DE39F2FD14A10893EADE946D8E72B1D4DA618BF3,https://cf.bstatic.com/images/hotel/max1024x768/409/409323834.jpg
202,41,F990FD3170C29C948E7967B6723C924998B85857,https://cf.bstatic.com/images/hotel/max1024x768/409/409323836.jpg
203,41,71B0C98116DD35147B90BC451EBDA185964BD8F7,https://cf.bstatic.com/images/hotel/max1024x768/409/409318396.jpg
204,42,D6192D05C06FAD7AD91A95C11479D512227F90CB,https://cf.bstatic.com/images/hotel/max1024x768/409/409325117.jpg
205,42,DD579D3BD286D3046174027E98D98143118C7E21,https://cf.bstatic.com/images/hotel/max1024x768/409/409325116.jpg
206,42,D25AC67A378E09F0605284EDA6ACBD2EFF22EEBF,https://cf.bstatic.com/images/hotel/max1024x768/409/409325115.jpg
207,42,13620CFB2FE5D5E0E94D9365E151EFD0AAFFC09D,https://cf.bstatic.com/images/hotel/max1024x768/409/409325113.jpg
208,42,0ED89F6F648A594D9A5074C4425E21BDE09C583C,https://cf.bstatic.com/images/hotel/max1024x768/409/409325111.jpg
209,42,A0787944DA871B6DFBFA16840697F548E9AE7F1C,https://cf.bstatic.com/images/hotel/max1024x768/409/409325108.jpg
210,42,A58708AC39974D51EB5BBE97D9BC7DE73BBC33A0,https://cf.bstatic.com/images/hotel/max1024x768/409/409325109.jpg
